"codigo","transecto","arv","nome.comum","nome.cient","familia","DAP","HT","tipo","pos.copa","luminosidade","morta","decomp","raio.n","raio.s","raio.l","raio.o","data","utm.lest","utm.norte","vol","parc.area","area.total"
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T16",89,"mapatirana","Pourouma villosa","Urticaceae",12.8,19.25,"O","S",2,FALSE,NA,1.6,1.1,1.4,0.5,20120312,780817.6044,9586667.761,0.436492216,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T10",115,"capueiro","Rinorea guianensis","Violaceae",10.2,15.1,"O","S",3,FALSE,NA,2.5,1.9,3.9,1.9,20120207,778633.0786,9583800.162,0.336476842,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T15",13,"pintadinho","Poeppigia procera","Fabaceae",12.9,18.94,"O","S",2,FALSE,NA,1.8,11,1.2,2,20120324,780115.8895,9585280.171,0.437279967,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T12",40,"uxirana","Sacoglottis guianensis","Humiriaceae",12.1,17.1,"O","S",3,FALSE,NA,2.2,1.2,1,2,20120309,778938.6326,9586796.018,0.40238928,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T13",73,"coquirana","Chrysophyllum sanguinolentum","Sapotaceae",13,18.01,"O","S",2,FALSE,NA,1.6,2,2,2.6,20120326,778803.9782,9586260.339,0.433738016,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T11",105,"abiurana","Pouteria gongrijpii","Sapotaceae",12.6,17.42,"O","S",2,FALSE,NA,1.6,0.5,2.5,0,20120203,779580.0261,9584160.478,0.418490238,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T13",52,"matamata preto","Eschweilera ovata","Lecythidaceae",11.4,15.68,"O","S",2,FALSE,NA,2.2,1.4,4.5,1,20120326,778898.6512,9586262.325,0.373330426,10000,50
"CAU_A01","T15",94,"arataciu","Sagotia racemosa","Euphorbiaceae",11.5,15.64,"O","S",2,FALSE,NA,0,0.7,3.2,3,20120324,780120.1505,9585646.002,0.37578877,10000,50
"CAU_A01","T15",94,"arataciu","Sagotia racemosa","Euphorbiaceae",11.5,15.64,"O","S",2,FALSE,NA,0,0.7,3.2,3,20120324,780120.1505,9585646.002,0.37578877,10000,50
"CAU_A01","T15",94,"arataciu","Sagotia racemosa","Euphorbiaceae",11.5,15.64,"O","S",2,FALSE,NA,0,0.7,3.2,3,20120324,780120.1505,9585646.002,0.37578877,10000,50
