"area","transect","tree","common_name","scientific_name","family_name","WSD_09","DBH_09","BA_09","AGB_09","area_sampled_09","BA_AS_09","AGB_AS_09","type_09","canopy_09","light_09","dead_09","class_09","X_09","Y_09","Hcom_09","Htot_09","RN_09","RS_09","RE_09","RW_09","WSD_11","DBH_11","BA_11","AGB_11","area_sampled_11","BA_AS_11","AGB_AS_11","type_11","canopy_11","light_11","dead_11","class_11","X_11","Y_11","Hcom_11","Htot_11","RN_11","RS_11","RE_11","RW_11","VOL","total.area","transect.area"
"DUC_A01","T05","1744","Guajara","Pouteria sp,","Sapotaceae",0.78,46.9,0.172756965,4.066034339,0.469,0.368351739,8.669582813,"O","E",1,"A",NA,4.51,445.1,37.38,46.56,NA,NA,NA,NA,0.78,48.9,0.187805194,"2.729404808",0.489,0.384059702,"5.581604925","O","D",1,"A",NA,4.51,445.1,19.29,28.75,5.5,4.5,5.4,7.1,2.49092199779126,50,1000
"DUC_A01","T05","1745","Ucuuba","Virola melinoni","Myristicaceae",0.48,27.6,0.05982849,0.480916517,0.276,0.216769893,1.742451149,"O","C",2,"A",NA,0.3,448.6,22.04,25.84,NA,NA,NA,NA,0.48,27.7,0.060262816,"0.493218554",0.277,0.217555291,"1.780572398","O","S",3,"A",NA,0.3,448.6,18.88,26.31,1.6,3.5,2.4,3.2,0.718629302333667,50,1000
"DUC_A01","T05","1746","Bacaba","Oenocarpus bacaba","Arecaceae",NA,17.3,0.023506182,0.063969024,0.173,0.135873882,0.369763146,"Pt","C",2,"A",NA,1.05,451.39,17.42,22.95,NA,NA,NA,NA,NA,17.8,0.024884555,"0.067444733",0.178,0.139800873,"0.378902996","P","S",2,"A",NA,1.05,451.39,17.19,19.67,3.2,1.6,1.8,2.8,0.273173834070195,50,1000
"DUC_A01","T05","1747","Breu","Protium hepytaphillum ","Burseraceae",0.63,12.8,0.012867964,0.078912936,0.128,0.100530965,0.616507315,"O","S",3,"A",NA,0.47,453.15,12.42,15.02,NA,NA,NA,NA,0.63,13.5,0.014313882,"0.078546192",0.135,0.106028752,"0.581823648","O","S",2,"A",NA,0.47,453.15,10.87,13.44,3.4,1.1,1.3,2.8,0.149207636422081,50,1000
"DUC_A01","T05","1748","Anani","Symphonia globulifera","Clusiaceae",0.6,12.7,0.012667687,0.067680445,0.127,0.099745567,0.532916892,"O","S",3,"A",NA,0.82,453.27,8.77,13.74,NA,NA,NA,NA,0.6,13.5,0.014313882,"0.066290048",0.135,0.106028752,"0.49103739","O","S",3,"A",NA,0.82,453.27,8.46,11.91,4.4,2.2,5.4,2.7,0.149207636422081,50,1000
"DUC_A01","T05","1751","Carapanauba","Aspidosperma nitidum","Apocynaceae",0.76,38.8,0.118236981,1.245095108,0.388,0.304734487,3.20900801,"O","C",1,"A",NA,3.9,462.91,16.95,21.38,NA,NA,NA,NA,0.76,38.9,0.118847235,"0.611711813",0.389,0.305519886,"1.572523942","O","S",3,"A",NA,3.9,462.91,8.36,10.45,0.4,0.3,0.5,0.4,1.51023779614633,50,1000
"DUC_A01","T05","1752","Bacaba","Oenocarpus bacaba","Arecaceae",NA,13,0.013273229,0.037627995,0.13,0.102101761,0.289446113,"Pt","C",2,"A",NA,0.18,467.91,8.87,13.55,NA,NA,NA,NA,NA,13.2,0.013684778,"0.038710078",0.132,0.103672558,"0.293258169","P","S",2,"A",NA,0.18,467.91,8.21,12.57,3.7,1.2,1.6,2.4,0.142051134168975,50,1000
"DUC_A01","T05","1753","Pintadinho","Poeppigia sp,","Fabaceae",0.69,8.1,0.005152997,0.025093705,0.081,0.063617251,0.309798829,"O","S",3,"A",NA,0.22,477.63,3.89,10.89,NA,NA,NA,NA,0.69,8.3,0.005410608,"0.021267279",0.083,0.065188048,"0.25623228","O","S",2,"A",NA,0.22,477.63,6.05,8.79,1.6,1.9,2.3,2,0.0514921070821945,50,1000
"DUC_A01","T05","1754","Guajara Cinza","Pouteria sp,","Sapotaceae",0.78,47.7,0.178700859,2.217688986,0.477,0.374634924,4.649243157,"O","E",1,"A",NA,3.07,483.31,18.64,24.55,NA,NA,NA,NA,0.78,51.4,0.207499053,"2.865624741",0.514,0.403694656,"5.57514541","O","E",1,"A",NA,3.07,483.31,20.25,27.32,1.8,3.2,6.4,1,2.77793130746461,50,1000
"DUC_A01","T05","1756","NI","NI","NI",0.7,20.6,0.033329156,0.100484935,0.206,0.161792022,0.487790949,"O","S",NA,"D",2,0.46,499.67,NA,8.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1000
